signal,signal_name,snr_db,snr_quality,n_r_peaks_raw,n_r_peaks_filtered,peak_rejection_rate,peak_consistency,rr_mean_ms,rr_std_ms,rr_cv,rr_regularity,n_impossible_rr,impossible_rr_pct,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,breathing_band_ratio,breathing_band_quality,imu_name,ribs_acc_x_skewness,ribs_acc_x_kurtosis,ribs_acc_x_flatline_pct,ribs_acc_x_peak_to_peak,ribs_acc_x_rms,ribs_acc_x_spike_pct,ribs_acc_x_spike_quality,ribs_acc_y_skewness,ribs_acc_y_kurtosis,ribs_acc_y_flatline_pct,ribs_acc_y_peak_to_peak,ribs_acc_y_rms,ribs_acc_y_spike_pct,ribs_acc_y_spike_quality,ribs_acc_z_skewness,ribs_acc_z_kurtosis,ribs_acc_z_flatline_pct,ribs_acc_z_peak_to_peak,ribs_acc_z_rms,ribs_acc_z_spike_pct,ribs_acc_z_spike_quality,ribs_gyr_x_skewness,ribs_gyr_x_kurtosis,ribs_gyr_x_flatline_pct,ribs_gyr_x_peak_to_peak,ribs_gyr_x_rms,ribs_gyr_x_spike_pct,ribs_gyr_x_spike_quality,ribs_gyr_y_skewness,ribs_gyr_y_kurtosis,ribs_gyr_y_flatline_pct,ribs_gyr_y_peak_to_peak,ribs_gyr_y_rms,ribs_gyr_y_spike_pct,ribs_gyr_y_spike_quality,ribs_gyr_z_skewness,ribs_gyr_z_kurtosis,ribs_gyr_z_flatline_pct,ribs_gyr_z_peak_to_peak,ribs_gyr_z_rms,ribs_gyr_z_spike_pct,ribs_gyr_z_spike_quality,ribs_acc_mag_mean,ribs_acc_mag_std,ribs_gravity_deviation,ribs_acc_calibration,chest_acc_x_skewness,chest_acc_x_kurtosis,chest_acc_x_flatline_pct,chest_acc_x_peak_to_peak,chest_acc_x_rms,chest_acc_x_spike_pct,chest_acc_x_spike_quality,chest_acc_y_skewness,chest_acc_y_kurtosis,chest_acc_y_flatline_pct,chest_acc_y_peak_to_peak,chest_acc_y_rms,chest_acc_y_spike_pct,chest_acc_y_spike_quality,chest_acc_z_skewness,chest_acc_z_kurtosis,chest_acc_z_flatline_pct,chest_acc_z_peak_to_peak,chest_acc_z_rms,chest_acc_z_spike_pct,chest_acc_z_spike_quality,chest_gyr_x_skewness,chest_gyr_x_kurtosis,chest_gyr_x_flatline_pct,chest_gyr_x_peak_to_peak,chest_gyr_x_rms,chest_gyr_x_spike_pct,chest_gyr_x_spike_quality,chest_gyr_y_skewness,chest_gyr_y_kurtosis,chest_gyr_y_flatline_pct,chest_gyr_y_peak_to_peak,chest_gyr_y_rms,chest_gyr_y_spike_pct,chest_gyr_y_spike_quality,chest_gyr_z_skewness,chest_gyr_z_kurtosis,chest_gyr_z_flatline_pct,chest_gyr_z_peak_to_peak,chest_gyr_z_rms,chest_gyr_z_spike_pct,chest_gyr_z_spike_quality,chest_acc_mag_mean,chest_acc_mag_std,chest_gravity_deviation,chest_acc_calibration,mean_temperature,std_temperature,min_temperature,max_temperature,physiological_range,range,stability,n_sudden_jumps,jump_pct
lead1,lead1,14.327579390091463,good,180.0,180.0,0.0,good,846.5474860335196,57.3402247672743,0.0677342094959619,very_regular,0.0,0.0,1.5146428357211363,moderate,1.2924082210487757,good,0.0,0.0,good,0.8546067850140218,0.16077685962355642,good,0.207392935512066,poor,0.0012200658465422428,good,73.8758816136657,8.05294707748455,57.98009474368299,87.4186779182187,20.0,11.0,0.0,31.0,90.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead2,lead2,13.09631410793699,good,180.0,180.0,0.0,good,846.5921787709498,57.48612798663183,0.0679029755154223,very_regular,0.0,0.0,1.8048915082702774,moderate,2.9254662935553153,good,0.0,0.0,good,0.8016802902565283,0.12835396869560584,good,0.3804694643719391,poor,0.0011174779760987506,good,63.76645251963665,7.9424174155920495,49.6948558970341,81.44815983113469,7.0,24.0,0.0,31.0,90.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,c1,10.897811572894774,good,182.0,182.0,0.0,good,847.8232044198895,58.17074992328851,0.06861188703025767,very_regular,0.0,0.0,-0.4486090141149607,good,14.60013625782766,poor,0.0,0.0,good,2.4281223604134716,0.11364729756640586,good,0.44934506513647404,moderate,0.0017699221314009903,good,59.23945955733805,12.317596453732126,7.038772631939171,75.89699364906038,4.0,26.0,1.0,31.0,88.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,c2,15.540437642593972,good,182.0,182.0,0.0,good,847.8011049723757,58.4352519701266,0.06892566148758514,very_regular,0.0,0.0,-0.958222507116308,good,4.664470952111238,moderate,0.0,0.0,good,2.573788058219187,0.3484478226406562,good,0.3971478161548133,poor,0.0008348350510263495,good,73.32320256436267,5.993376073023774,58.0793192143545,81.66046429255991,22.0,9.0,0.0,31.0,90.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,c3,13.905390769828383,good,182.0,182.0,0.0,good,847.8011049723757,58.26254351364681,0.06872194807477304,very_regular,0.0,0.0,0.6312910167356393,good,2.0662708824476095,good,0.0,0.0,good,4.367380569143487,0.42235443865314426,good,0.31663062556697535,poor,0.0010706410924950715,good,80.3673371910623,10.777791299247532,35.86072286973321,92.22368610734306,28.0,2.0,1.0,31.0,95.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,c4,13.848291070460771,good,182.0,182.0,0.0,good,847.8232044198895,58.26185614486034,0.06871934601592457,very_regular,0.0,0.0,1.0810784410119543,moderate,5.152334194712264,moderate,0.0,0.0,good,5.242792243156573,0.329125936339574,moderate,0.3650521330466917,poor,0.0011830016350774211,good,74.27251134221878,9.785659008258323,31.408226246788907,84.02959885911949,20.0,10.0,1.0,31.0,83.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,c5,12.150617276258265,good,182.0,182.0,0.0,good,847.8232044198895,58.26337337491291,0.06872113557540425,very_regular,0.0,0.0,1.389513456822319,moderate,10.151484478663516,poor,0.0,0.0,good,4.058893053905745,0.2245096416222759,good,0.3977009359655705,poor,0.0014357349396699824,good,60.55972957132549,9.68565880038124,15.217461483396608,71.70014778064566,1.0,29.0,1.0,31.0,81.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impedance_pneumography,impedance_pneumography,15.137197036847255,good,,,,,,,,,,,0.07356674175925074,good,-1.5982895363870948,good,0.0,0.0,good,1.4881699149326508,0.5764232837559912,,,,,,,,,,,,,,79.0,good,1.0,2.0,0.5,poor,0.8708245077127156,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2877456049638,moderate,,,,,,,ribs,0.3328614977270375,52.68791755007365,0.0,14.86856212713431,0.7390889610556125,1.2176835573940021,moderate,1.911309062173452,33.171199419954874,0.0,12.348626239968961,0.6934072736897801,1.434850051706308,moderate,-0.03880940312492344,5.729413282777067,0.0,5.265438410774804,0.45623886256866725,1.2461220268872804,moderate,2.4611912007737913,9.370369995894503,0.0,0.0557246275049292,0.006768868660951612,2.567218200620476,moderate,-3.3242218572918847,11.54505093727843,1.4245087900723887,0.07324362706901269,0.011905008823020258,4.622543950361944,moderate,-2.9635054330706474,10.319010790371122,0.0,0.06860385220838308,0.00869461765218553,3.2678386763185108,moderate,0.5845161534306099,0.9452835054399252,9.225483846569391,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.32523267838676,moderate,,,,,,,chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9213626047337147,13.857136233154979,0.0,5.375965440113699,0.35467864024661516,1.4451913133402274,moderate,-1.4615378834473962,52.08646999556313,0.0,24.182589606298933,1.2047172835849091,1.5434332988624613,moderate,-1.3398400958055225,31.205688445877165,0.0,7.786743759445621,0.4217577336603984,1.6856256463288521,moderate,-2.338372113594775,19.258440061496934,0.0,0.21879963642552028,0.017317245903555087,2.8490175801447775,moderate,1.7071120530172148,6.3172426121206,0.4110651499482937,0.06341263773586077,0.006983026133983996,2.2750775594622543,moderate,-3.9448082948158114,23.366270545265408,0.93846949327818,0.15504667074422113,0.014294143408507513,2.453464322647363,moderate,0.5726527727075649,1.1946083287120024,9.237347227292435,poor,,,,,,,,,
body_temperature,body_temperature,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,46.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67576892935626,1.1872782019878827,30.3984375,36.2734375,good,5.875,unstable,0.0,0.0
