signal,signal_name,snr_db,snr_quality,peak_detection_error,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,bbi_cv,resp_rate_mean,bbi_regularity,n_impossible_breaths,impossible_breath_pct,breathing_band_ratio,breathing_band_quality,imu_name,ribs_acc_x_skewness,ribs_acc_x_kurtosis,ribs_acc_x_flatline_pct,ribs_acc_x_peak_to_peak,ribs_acc_x_rms,ribs_acc_x_spike_pct,ribs_acc_x_spike_quality,ribs_acc_y_skewness,ribs_acc_y_kurtosis,ribs_acc_y_flatline_pct,ribs_acc_y_peak_to_peak,ribs_acc_y_rms,ribs_acc_y_spike_pct,ribs_acc_y_spike_quality,ribs_acc_z_skewness,ribs_acc_z_kurtosis,ribs_acc_z_flatline_pct,ribs_acc_z_peak_to_peak,ribs_acc_z_rms,ribs_acc_z_spike_pct,ribs_acc_z_spike_quality,ribs_gyr_x_skewness,ribs_gyr_x_kurtosis,ribs_gyr_x_flatline_pct,ribs_gyr_x_peak_to_peak,ribs_gyr_x_rms,ribs_gyr_x_spike_pct,ribs_gyr_x_spike_quality,ribs_gyr_y_skewness,ribs_gyr_y_kurtosis,ribs_gyr_y_flatline_pct,ribs_gyr_y_peak_to_peak,ribs_gyr_y_rms,ribs_gyr_y_spike_pct,ribs_gyr_y_spike_quality,ribs_gyr_z_skewness,ribs_gyr_z_kurtosis,ribs_gyr_z_flatline_pct,ribs_gyr_z_peak_to_peak,ribs_gyr_z_rms,ribs_gyr_z_spike_pct,ribs_gyr_z_spike_quality,ribs_acc_mag_mean,ribs_acc_mag_std,ribs_gravity_deviation,ribs_acc_calibration,chest_acc_x_skewness,chest_acc_x_kurtosis,chest_acc_x_flatline_pct,chest_acc_x_peak_to_peak,chest_acc_x_rms,chest_acc_x_spike_pct,chest_acc_x_spike_quality,chest_acc_y_skewness,chest_acc_y_kurtosis,chest_acc_y_flatline_pct,chest_acc_y_peak_to_peak,chest_acc_y_rms,chest_acc_y_spike_pct,chest_acc_y_spike_quality,chest_acc_z_skewness,chest_acc_z_kurtosis,chest_acc_z_flatline_pct,chest_acc_z_peak_to_peak,chest_acc_z_rms,chest_acc_z_spike_pct,chest_acc_z_spike_quality,chest_gyr_x_skewness,chest_gyr_x_kurtosis,chest_gyr_x_flatline_pct,chest_gyr_x_peak_to_peak,chest_gyr_x_rms,chest_gyr_x_spike_pct,chest_gyr_x_spike_quality,chest_gyr_y_skewness,chest_gyr_y_kurtosis,chest_gyr_y_flatline_pct,chest_gyr_y_peak_to_peak,chest_gyr_y_rms,chest_gyr_y_spike_pct,chest_gyr_y_spike_quality,chest_gyr_z_skewness,chest_gyr_z_kurtosis,chest_gyr_z_flatline_pct,chest_gyr_z_peak_to_peak,chest_gyr_z_rms,chest_gyr_z_spike_pct,chest_gyr_z_spike_quality,chest_acc_mag_mean,chest_acc_mag_std,chest_gravity_deviation,chest_acc_calibration,mean_temperature,std_temperature,min_temperature,max_temperature,physiological_range,range,stability,n_sudden_jumps,jump_pct
lead1,lead1,14.364404970096928,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",1.792459416997045,moderate,2.3070023896994067,good,0.0,0.0,good,0.6835885942408574,0.14369859662768744,good,0.08304738405433475,poor,0.002336124832304647,good,66.95900487662831,8.71044110932668,44.12192688788819,82.21915957745396,9.0,14.0,0.0,23.0,73.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead2,lead2,14.076757839874245,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.318918870214755,poor,5.677835779857231,moderate,0.0,0.0,good,0.9714053910928703,0.1557339827225982,good,0.3176884029787256,poor,0.0016737971780286668,good,53.185879337273185,6.658351961522718,34.30623952065202,64.35939563995413,0.0,22.0,1.0,23.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,c1,20.16341843514403,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",-4.333358668619176,poor,20.217453596299187,poor,0.0,0.0,good,1.011660781411387,0.13466440093971221,good,0.5096202394321285,moderate,0.0003871777509809592,good,47.13916339428685,3.8904910575970084,36.69564534658987,50.0,0.0,22.0,1.0,23.0,62.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,c2,17.192413760227375,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",-2.10631566903537,poor,9.589351045369657,poor,0.0,0.0,good,1.3535011932601986,0.18144257357453675,good,0.3361525992047601,poor,0.0010296389287940688,good,53.76565503518934,7.1907124235793525,38.88275955349108,62.316453339820626,0.0,22.0,1.0,23.0,60.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,c3,14.401198142864825,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",1.6042253678222909,moderate,2.033949507530707,good,0.0,0.0,good,1.2310823194806946,0.22894360817338597,good,0.0932186433940107,poor,0.0021722933829446,good,70.2886235084372,9.097130707881764,52.34802998949976,84.669164725352,11.0,12.0,0.0,23.0,73.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,c4,16.138474052672752,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.1776121275693647,poor,4.401756762016624,moderate,0.0,0.0,good,1.1909100681019067,0.2068878231384314,good,0.29500225427841514,poor,0.0014847043030268184,good,62.99455282409953,7.717256295188409,44.60899916475794,75.00602524576605,5.0,18.0,0.0,23.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,c5,16.78517809197928,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.5510637784786088,poor,6.916958091215433,moderate,0.0,0.0,good,1.1149909830708347,0.17873527727218283,good,0.3396490171083405,poor,0.0013142784574902801,good,54.96175205951943,7.24475657943246,40.3835350889635,66.46896013322878,0.0,23.0,0.0,23.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impedance_pneumography,impedance_pneumography,12.504278329978444,good,,0.5066044224683303,good,-1.0059608372471205,good,0.0,0.0,good,0.009295770215888281,0.002405397880798615,,,,,,,,,,,,,,79.0,good,27.0,47.0,0.574468085106383,poor,0.2789331549844582,24.808542767770472,moderate,0.0,0.0,0.7462701017080436,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,ribs,0.20654512828021576,-0.7857089490673377,0.0,0.6557017099909115,0.11165043454760723,0.4985855728429986,good,-1.0622616015758488,2.0468389274890706,0.0,1.2626960882321427,0.17261375150306005,3.246110325318246,moderate,-0.14408252158275373,-1.1614929838402162,0.0,1.1802394353625307,0.2548624517608236,0.15558698727015557,good,0.1114874245840811,-0.028687012013756785,0.0,0.002830909355275394,0.00045325669117865497,1.5876944837340876,moderate,0.40100780788228474,-1.0005237861462701,0.0,0.012962356644422215,0.002927854826220888,0.731966053748232,good,-0.4181432577143588,-0.08272565153908085,0.0,0.005669532756562691,0.001012891635638277,1.0466760961810466,moderate,0.2960586330483143,0.13987666659500922,9.513941366951686,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29408629521323315,0.03217555794967142,0.0,0.8343030065961169,0.128357588979406,1.7786421499292786,moderate,-0.024771921798843403,-0.48928139294349826,0.0,1.4698527227683973,0.23503589435530456,0.38896746817538896,good,-0.03882683149286183,-0.4182444310807871,0.0,0.4889382009461777,0.09065772656437979,0.6188118811881188,good,0.3147343395290709,-0.8868893309072896,0.0,0.011366346825358576,0.002438025113734204,0.342998585572843,good,-0.003791634289028904,-0.10640425430042466,0.0,0.00876151589455633,0.0015275096558848918,1.0325318246110324,moderate,0.07611876464831002,-0.11991865735266805,0.0,0.002923252058114026,0.0004090451371122921,1.3012729844413014,moderate,0.25169245589902095,0.12879158867466942,9.55830754410098,poor,,,,,,,,,
body_temperature,body_temperature,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,70.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.717609825296144,0.08241390473926817,34.54296875,34.8671875,good,0.32421875,stable,0.0,0.0
