signal,signal_name,snr_db,snr_quality,peak_detection_error,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,bbi_cv,resp_rate_mean,bbi_regularity,n_impossible_breaths,impossible_breath_pct,breathing_band_ratio,breathing_band_quality,imu_name,ribs_acc_x_skewness,ribs_acc_x_kurtosis,ribs_acc_x_flatline_pct,ribs_acc_x_peak_to_peak,ribs_acc_x_rms,ribs_acc_x_spike_pct,ribs_acc_x_spike_quality,ribs_acc_y_skewness,ribs_acc_y_kurtosis,ribs_acc_y_flatline_pct,ribs_acc_y_peak_to_peak,ribs_acc_y_rms,ribs_acc_y_spike_pct,ribs_acc_y_spike_quality,ribs_acc_z_skewness,ribs_acc_z_kurtosis,ribs_acc_z_flatline_pct,ribs_acc_z_peak_to_peak,ribs_acc_z_rms,ribs_acc_z_spike_pct,ribs_acc_z_spike_quality,ribs_gyr_x_skewness,ribs_gyr_x_kurtosis,ribs_gyr_x_flatline_pct,ribs_gyr_x_peak_to_peak,ribs_gyr_x_rms,ribs_gyr_x_spike_pct,ribs_gyr_x_spike_quality,ribs_gyr_y_skewness,ribs_gyr_y_kurtosis,ribs_gyr_y_flatline_pct,ribs_gyr_y_peak_to_peak,ribs_gyr_y_rms,ribs_gyr_y_spike_pct,ribs_gyr_y_spike_quality,ribs_gyr_z_skewness,ribs_gyr_z_kurtosis,ribs_gyr_z_flatline_pct,ribs_gyr_z_peak_to_peak,ribs_gyr_z_rms,ribs_gyr_z_spike_pct,ribs_gyr_z_spike_quality,ribs_acc_mag_mean,ribs_acc_mag_std,ribs_gravity_deviation,ribs_acc_calibration,chest_acc_x_skewness,chest_acc_x_kurtosis,chest_acc_x_flatline_pct,chest_acc_x_peak_to_peak,chest_acc_x_rms,chest_acc_x_spike_pct,chest_acc_x_spike_quality,chest_acc_y_skewness,chest_acc_y_kurtosis,chest_acc_y_flatline_pct,chest_acc_y_peak_to_peak,chest_acc_y_rms,chest_acc_y_spike_pct,chest_acc_y_spike_quality,chest_acc_z_skewness,chest_acc_z_kurtosis,chest_acc_z_flatline_pct,chest_acc_z_peak_to_peak,chest_acc_z_rms,chest_acc_z_spike_pct,chest_acc_z_spike_quality,chest_gyr_x_skewness,chest_gyr_x_kurtosis,chest_gyr_x_flatline_pct,chest_gyr_x_peak_to_peak,chest_gyr_x_rms,chest_gyr_x_spike_pct,chest_gyr_x_spike_quality,chest_gyr_y_skewness,chest_gyr_y_kurtosis,chest_gyr_y_flatline_pct,chest_gyr_y_peak_to_peak,chest_gyr_y_rms,chest_gyr_y_spike_pct,chest_gyr_y_spike_quality,chest_gyr_z_skewness,chest_gyr_z_kurtosis,chest_gyr_z_flatline_pct,chest_gyr_z_peak_to_peak,chest_gyr_z_rms,chest_gyr_z_spike_pct,chest_gyr_z_spike_quality,chest_acc_mag_mean,chest_acc_mag_std,chest_gravity_deviation,chest_acc_calibration,mean_temperature,std_temperature,min_temperature,max_temperature,physiological_range,range,stability,n_sudden_jumps,jump_pct
lead1,lead1,14.368638063945756,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",1.7898279972157036,moderate,2.2941534457874386,good,0.0,0.0,good,0.6626280504135584,0.1434868132206878,good,0.08350102696845922,poor,0.0023035847333667428,good,68.90099718707863,7.900053294064581,58.410821732706935,82.52099694462271,10.0,17.0,0.0,27.0,73.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead2,lead2,14.199091173690235,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.320309955536779,poor,5.690469514405235,moderate,0.0,0.0,good,0.982018027523253,0.15592972103907063,good,0.3184613084087421,poor,0.0016876985303153817,good,55.6174549846873,6.676371276486454,44.01540518688739,69.66150487981119,0.0,27.0,0.0,27.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,c1,20.205078512824866,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",-4.334086756318769,poor,20.22590354237096,poor,0.0,0.0,good,1.011660781411394,0.13445391451353692,good,0.509705673042792,moderate,0.00038285773514069735,good,47.293637164828205,3.7739339589135517,36.448226688125445,50.0,0.0,25.0,2.0,27.0,62.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,c2,17.173329600343237,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",-2.099898404699717,poor,9.570962560055689,poor,0.0,0.0,good,1.3535011932601928,0.18075045940163284,good,0.33580936261911826,poor,0.0010289632497941113,good,53.71747289733971,7.057320638422078,35.7083197254058,62.52384305231692,0.0,26.0,1.0,27.0,60.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,c3,14.356330041581682,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",1.6039693303535525,moderate,2.0340080590206924,good,0.0,0.0,good,1.243660348407699,0.22944376014650245,good,0.09307484629654666,poor,0.0021519992315869427,good,71.32597296295553,8.148182498678018,60.732505517143984,84.73048053039795,13.0,14.0,0.0,27.0,73.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,c4,16.31296409704154,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.174891901089927,poor,4.387747218564871,moderate,0.0,0.0,good,1.2324215904806994,0.2081127253709754,good,0.29458056282287537,poor,0.0014323564741296423,good,64.62028669043015,6.717714962271511,52.721049860144035,74.81945070644483,7.0,20.0,0.0,27.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,c5,16.978395451719695,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.5415731849767247,poor,6.867345857735868,moderate,0.0,0.0,good,1.1644577388361275,0.17966085981825508,good,0.3390395652571574,poor,0.0012402299922297196,good,56.531044275317676,6.5751493260878116,44.799567438129884,67.8562353443749,0.0,27.0,0.0,27.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impedance_pneumography,impedance_pneumography,12.414999580700135,good,,0.523901064226446,good,-0.9581834342233906,good,0.0,0.0,good,0.009340536630235808,0.0023978418079661605,,,,,,,,,,,,,,79.0,good,32.0,55.0,0.5818181818181818,poor,0.31367122185216895,24.984577421344856,moderate,0.0,0.0,0.7440592294428026,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,ribs,0.17134732798579957,-0.6089190556388595,0.0,0.7586555695422603,0.11824010467635221,0.5857230018303844,good,-1.037898704196431,2.504303022546533,0.0,1.6434580889724737,0.18840071162094313,3.136058572300183,moderate,-0.11541358195576756,-0.998217854370699,0.0,1.4618218602220086,0.26817294960487686,0.3050640634533252,good,-0.7297127910261217,3.066701661480452,0.0,0.004859621484482501,0.0005337667188691682,1.5558267236119585,moderate,0.4644809563465436,-0.7783970927582127,0.0,0.013791131060253904,0.0030682865555624697,0.6833435021354485,good,-0.08307053614120498,1.6091390504044902,0.0,0.01060569435589598,0.0012197917978646006,1.0707748627211715,moderate,0.3115496250239838,0.15597792324668056,9.498450374976017,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40128170000046015,0.5848762717482137,0.0,1.0203512925266907,0.13549453527531985,1.2202562538133008,moderate,-0.06968799941285285,-0.20340990282436655,0.0,1.6919506510222777,0.2535021705526635,0.5369127516778524,good,-0.04649961428893457,-0.21016678473733963,0.0,0.6188818354018667,0.09497595073097204,0.8511287370347773,good,0.31393571151412114,-0.7984708594697199,0.0,0.012456729717930468,0.0025180167480689463,0.4057352043929225,good,1.5959298788196454,4.701750511156613,0.0,0.016038424323332093,0.002338122695162132,1.2263575350823672,moderate,-0.4373155876020665,1.3493630073101741,0.0,0.004719210568699312,0.0004819160806957974,1.2995729103111653,moderate,0.26687631286707464,0.14289711127980825,9.543123687132926,poor,,,,,,,,,
